date,num_of_device,MSA
2019-12-30,23669,Baltimore-Columbia-Towson
2019-12-31,267192,Baltimore-Columbia-Towson
2020-01-01,298696,Baltimore-Columbia-Towson
2020-01-02,318778,Baltimore-Columbia-Towson
2020-01-03,322430,Baltimore-Columbia-Towson
2020-01-04,311435,Baltimore-Columbia-Towson
2020-01-05,304138,Baltimore-Columbia-Towson
2020-01-06,323500,Baltimore-Columbia-Towson
2020-01-07,323867,Baltimore-Columbia-Towson
2020-01-08,319724,Baltimore-Columbia-Towson
2020-01-09,324152,Baltimore-Columbia-Towson
2020-01-10,327808,Baltimore-Columbia-Towson
2020-01-11,317227,Baltimore-Columbia-Towson
2020-01-12,309965,Baltimore-Columbia-Towson
2020-01-13,323371,Baltimore-Columbia-Towson
2020-01-14,323454,Baltimore-Columbia-Towson
2020-01-15,323024,Baltimore-Columbia-Towson
2020-01-16,323832,Baltimore-Columbia-Towson
2020-01-17,330684,Baltimore-Columbia-Towson
2020-01-18,299984,Baltimore-Columbia-Towson
2020-01-19,300285,Baltimore-Columbia-Towson
2020-01-20,309121,Baltimore-Columbia-Towson
2020-01-21,319458,Baltimore-Columbia-Towson
2020-01-22,321699,Baltimore-Columbia-Towson
2020-01-23,326294,Baltimore-Columbia-Towson
2020-01-24,332453,Baltimore-Columbia-Towson
2020-01-25,311715,Baltimore-Columbia-Towson
2020-01-26,304090,Baltimore-Columbia-Towson
2020-01-27,317734,Baltimore-Columbia-Towson
2020-01-28,317427,Baltimore-Columbia-Towson
2020-01-29,319445,Baltimore-Columbia-Towson
2020-01-30,318970,Baltimore-Columbia-Towson
2020-01-31,324216,Baltimore-Columbia-Towson
2020-02-01,308058,Baltimore-Columbia-Towson
2020-02-02,300976,Baltimore-Columbia-Towson
2020-02-03,318123,Baltimore-Columbia-Towson
2020-02-04,319300,Baltimore-Columbia-Towson
2020-02-05,321657,Baltimore-Columbia-Towson
2020-02-06,322962,Baltimore-Columbia-Towson
2020-02-07,327832,Baltimore-Columbia-Towson
2020-02-08,307765,Baltimore-Columbia-Towson
2020-02-09,304529,Baltimore-Columbia-Towson
2020-02-10,320240,Baltimore-Columbia-Towson
2020-02-11,321297,Baltimore-Columbia-Towson
2020-02-12,324484,Baltimore-Columbia-Towson
2020-02-13,325443,Baltimore-Columbia-Towson
2020-02-14,334225,Baltimore-Columbia-Towson
2020-02-15,314685,Baltimore-Columbia-Towson
2020-02-16,308379,Baltimore-Columbia-Towson
2020-02-17,317155,Baltimore-Columbia-Towson
2020-02-18,321193,Baltimore-Columbia-Towson
2020-02-19,322769,Baltimore-Columbia-Towson
2020-02-20,324629,Baltimore-Columbia-Towson
2020-02-21,327479,Baltimore-Columbia-Towson
2020-02-22,310848,Baltimore-Columbia-Towson
2020-02-23,308172,Baltimore-Columbia-Towson
2020-02-24,320107,Baltimore-Columbia-Towson
2020-02-25,320546,Baltimore-Columbia-Towson
2020-02-26,322577,Baltimore-Columbia-Towson
2020-02-27,321658,Baltimore-Columbia-Towson
2020-02-28,325529,Baltimore-Columbia-Towson
2020-02-29,306004,Baltimore-Columbia-Towson
2020-03-01,304017,Baltimore-Columbia-Towson
2020-03-02,319681,Baltimore-Columbia-Towson
2020-03-03,321578,Baltimore-Columbia-Towson
2020-03-04,319636,Baltimore-Columbia-Towson
2020-03-05,321421,Baltimore-Columbia-Towson
2020-03-06,328781,Baltimore-Columbia-Towson
2020-03-07,310193,Baltimore-Columbia-Towson
2020-03-08,305610,Baltimore-Columbia-Towson
2020-03-09,317687,Baltimore-Columbia-Towson
2020-03-10,317803,Baltimore-Columbia-Towson
2020-03-11,316756,Baltimore-Columbia-Towson
2020-03-12,314613,Baltimore-Columbia-Towson
2020-03-13,313625,Baltimore-Columbia-Towson
2020-03-14,290256,Baltimore-Columbia-Towson
2020-03-15,281603,Baltimore-Columbia-Towson
2020-03-16,293858,Baltimore-Columbia-Towson
2020-03-17,286435,Baltimore-Columbia-Towson
2020-03-18,284047,Baltimore-Columbia-Towson
2020-03-19,283948,Baltimore-Columbia-Towson
2020-03-20,282728,Baltimore-Columbia-Towson
2020-03-21,259232,Baltimore-Columbia-Towson
2020-03-22,254605,Baltimore-Columbia-Towson
2020-03-23,269823,Baltimore-Columbia-Towson
2020-03-24,267683,Baltimore-Columbia-Towson
2020-03-25,263886,Baltimore-Columbia-Towson
2020-03-26,267908,Baltimore-Columbia-Towson
2020-03-27,268017,Baltimore-Columbia-Towson
2020-03-28,252840,Baltimore-Columbia-Towson
2020-03-29,250606,Baltimore-Columbia-Towson
2020-03-30,275066,Baltimore-Columbia-Towson
2020-03-31,264546,Baltimore-Columbia-Towson
2020-04-01,264987,Baltimore-Columbia-Towson
2020-04-02,261187,Baltimore-Columbia-Towson
2020-04-03,261859,Baltimore-Columbia-Towson
2020-04-04,247887,Baltimore-Columbia-Towson
2020-04-05,245462,Baltimore-Columbia-Towson
2020-04-06,258810,Baltimore-Columbia-Towson
2020-04-07,261576,Baltimore-Columbia-Towson
2020-04-08,262984,Baltimore-Columbia-Towson
2020-04-09,261925,Baltimore-Columbia-Towson
2020-04-10,256265,Baltimore-Columbia-Towson
2020-04-11,248869,Baltimore-Columbia-Towson
2020-04-12,245635,Baltimore-Columbia-Towson
2020-04-13,261082,Baltimore-Columbia-Towson
2020-04-14,258252,Baltimore-Columbia-Towson
2020-04-15,257891,Baltimore-Columbia-Towson
2020-04-16,256793,Baltimore-Columbia-Towson
2020-04-17,259696,Baltimore-Columbia-Towson
2020-04-18,248621,Baltimore-Columbia-Towson
2020-04-19,245438,Baltimore-Columbia-Towson
2020-04-20,258017,Baltimore-Columbia-Towson
2020-04-21,259816,Baltimore-Columbia-Towson
2020-04-22,258244,Baltimore-Columbia-Towson
2020-04-23,258443,Baltimore-Columbia-Towson
2020-04-24,257930,Baltimore-Columbia-Towson
2020-04-25,254915,Baltimore-Columbia-Towson
2020-04-26,242261,Baltimore-Columbia-Towson
2020-04-27,256198,Baltimore-Columbia-Towson
2020-04-28,257066,Baltimore-Columbia-Towson
2020-04-29,259685,Baltimore-Columbia-Towson
2020-04-30,252451,Baltimore-Columbia-Towson
2020-05-01,258660,Baltimore-Columbia-Towson
2020-05-02,252283,Baltimore-Columbia-Towson
2020-05-03,247036,Baltimore-Columbia-Towson
2020-05-04,255845,Baltimore-Columbia-Towson
2020-05-05,254810,Baltimore-Columbia-Towson
2020-05-06,252533,Baltimore-Columbia-Towson
2020-05-07,255600,Baltimore-Columbia-Towson
2020-05-08,256643,Baltimore-Columbia-Towson
2020-05-09,246978,Baltimore-Columbia-Towson
2020-05-10,248881,Baltimore-Columbia-Towson
2020-05-11,252834,Baltimore-Columbia-Towson
2020-05-12,250076,Baltimore-Columbia-Towson
2020-05-13,254584,Baltimore-Columbia-Towson
2020-05-14,254852,Baltimore-Columbia-Towson
2020-05-15,259580,Baltimore-Columbia-Towson
2020-05-16,250857,Baltimore-Columbia-Towson
2020-05-17,245263,Baltimore-Columbia-Towson
2020-05-18,253473,Baltimore-Columbia-Towson
2020-05-19,253176,Baltimore-Columbia-Towson
2020-05-20,253104,Baltimore-Columbia-Towson
2020-05-21,257641,Baltimore-Columbia-Towson
2020-05-22,258286,Baltimore-Columbia-Towson
2020-05-23,249931,Baltimore-Columbia-Towson
2020-05-24,240710,Baltimore-Columbia-Towson
2020-05-25,248118,Baltimore-Columbia-Towson
2020-05-26,254997,Baltimore-Columbia-Towson
2020-05-27,258361,Baltimore-Columbia-Towson
2020-05-28,256632,Baltimore-Columbia-Towson
2020-05-29,263418,Baltimore-Columbia-Towson
2020-05-30,253794,Baltimore-Columbia-Towson
2020-05-31,249255,Baltimore-Columbia-Towson
2020-06-01,254627,Baltimore-Columbia-Towson
2020-06-02,256976,Baltimore-Columbia-Towson
2020-06-03,259484,Baltimore-Columbia-Towson
2020-06-04,263458,Baltimore-Columbia-Towson
2020-06-05,264647,Baltimore-Columbia-Towson
2020-06-06,252734,Baltimore-Columbia-Towson
2020-06-07,246322,Baltimore-Columbia-Towson
2020-06-08,246775,Baltimore-Columbia-Towson
2020-06-09,229080,Baltimore-Columbia-Towson
2020-06-10,14445,Baltimore-Columbia-Towson
2020-06-11,25730,Baltimore-Columbia-Towson
2020-06-12,215026,Baltimore-Columbia-Towson
2020-06-13,251693,Baltimore-Columbia-Towson
2020-06-14,247290,Baltimore-Columbia-Towson
